Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sing in and reset user,,,,2021-12-08 11:34:01,2021-12-08 11:37:47,3m - 46.501s,FAILED
,,,,,,,
Test Cases/Start page/Sing In,,,,2021-12-08 11:36:12,2021-12-08 11:36:53,41.273s,FAILED
"startExistingApplication(""com.gigantic.clawee"", STOP_ON_FAILURE)",,,,2021-12-08 11:36:12,2021-12-08 11:36:20,8.509s,PASSED
"tap(findTestObject(""Start page/Connect button/Connect with Email/Connect with E-mail""), 0)",,,,2021-12-08 11:36:20,2021-12-08 11:36:53,32.756s,FAILED
,,,,,,,
Test Cases/Start page/6 welcome screens,,,,2021-12-08 11:37:46,2021-12-08 11:37:46,0.187s,FAILED
"tap(findTestObject(""Start game/6 welcome screens/Next""), 0)",,,,2021-12-08 11:37:46,2021-12-08 11:37:46,0.177s,FAILED
,,,,,,,
Test Cases/Start page/Play for real,,,,2021-12-08 11:37:47,2021-12-08 11:37:47,0.124s,FAILED
"tap(findTestObject(""Start game/6 welcome screens/Lets Go""), 0)",,,,2021-12-08 11:37:47,2021-12-08 11:37:47,0.114s,FAILED
,,,,,,,
Test Cases/Reret user,,,,2021-12-08 11:37:47,2021-12-08 11:37:47,0.100s,FAILED
"tap(findTestObject(""Reset user/Profile""), 0)",,,,2021-12-08 11:37:47,2021-12-08 11:37:47,0.092s,FAILED
